date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances,gsis_url
1998-11-08,1998,10,REG,1998_10_DET_PHI,nfl-jason-hanson-2,Jason Hanson,DET,PHI,0,0,3,4,"41,48,35",https://nflgsis.com/1998/reg/10/440/Gamebook.pdf
1998-11-09,1998,10,REG,1998_10_GB_PIT,nfl-norm-johnson,Norm Johnson,PIT,GB,3,3,2,2,"45,21",https://nflgsis.com/1998/reg/10/450/Gamebook.pdf
1998-11-09,1998,10,REG,1998_10_GB_PIT,nfl-ryan-longwell,Ryan Longwell,GB,PIT,0,0,2,3,"42,37",https://nflgsis.com/1998/reg/10/450/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_IND_MIA,nfl-olindo-mare,Olindo Mare,MIA,IND,3,3,2,2,"21,23",https://nflgsis.com/1998/reg/10/441/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_KC_SEA,nfl-pete-stoyanovich,Pete Stoyanovich,KC,SEA,0,0,2,3,"54,38",https://nflgsis.com/1998/reg/10/442/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_NYG_DAL,nfl-brad-daluiso,Brad Daluiso,NYG,DAL,0,0,2,2,"32,23",https://nflgsis.com/1998/reg/10/444/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_NYG_DAL,nfl-richie-cunningham,Richie Cunningham,DAL,NYG,1,1,3,4,"37,40,19",https://nflgsis.com/1998/reg/10/444/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_OAK_BAL,nfl-matt-stover,Matt Stover,BAL,OAK,1,1,2,3,"30,30",https://nflgsis.com/1998/reg/10/445/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_SD_DEN,nfl-jason-elam,Jason Elam,DEN,SD,3,3,2,2,"31,26",https://nflgsis.com/1998/reg/10/447/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_STL_CHI,nfl-jeff-wilkins,Jeff Wilkins,STL,CHI,2,2,2,2,"24,33",https://nflgsis.com/1998/reg/10/446/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_TEN_TB,nfl-michael-husted,Michael Husted,TB,TEN,1,1,3,3,"46,30,24",https://nflgsis.com/1998/reg/10/449/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_WAS_ARI,nfl-cary-blanchard,Cary Blanchard,WAS,ARI,3,3,2,2,"34,54",https://nflgsis.com/1998/reg/10/448/Gamebook.pdf
1998-11-08,1998,10,REG,1998_10_WAS_ARI,nfl-joe-nedney,Joe Nedney,ARI,WAS,3,3,2,2,"26,47",https://nflgsis.com/1998/reg/10/448/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_BAL_SD,nfl-matt-stover,Matt Stover,BAL,SD,1,1,2,2,"42,42",https://nflgsis.com/1998/reg/11/451/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_CHI_DET,nfl-jason-hanson-2,Jason Hanson,DET,CHI,2,3,2,2,"24,25",https://nflgsis.com/1998/reg/11/464/Gamebook.pdf
1998-11-16,1998,11,REG,1998_11_DEN_KC,nfl-jason-elam,Jason Elam,DEN,KC,3,3,3,3,"42,46,35",https://nflgsis.com/1998/reg/11/465/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_GB_NYG,nfl-ryan-longwell,Ryan Longwell,GB,NYG,4,4,3,5,"39,24,31",https://nflgsis.com/1998/reg/11/454/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_MIA_CAR,nfl-john-kasay,John Kasay,CAR,MIA,0,0,3,3,"32,27,43",https://nflgsis.com/1998/reg/11/455/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_MIA_CAR,nfl-olindo-mare,Olindo Mare,MIA,CAR,1,1,2,2,"22,23",https://nflgsis.com/1998/reg/11/455/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_NE_BUF,nfl-steve-christie,Steve Christie,BUF,NE,1,1,2,3,"31,20",https://nflgsis.com/1998/reg/11/456/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_NYJ_IND,nfl-john-hall,John Hall,NYJ,IND,2,2,3,4,"37,40,25",https://nflgsis.com/1998/reg/11/457/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_PIT_TEN,nfl-al-del-greco,Al Del Greco,TEN,PIT,2,2,3,3,"46,24,22",https://nflgsis.com/1998/reg/11/459/Gamebook.pdf
1998-11-15,1998,11,REG,1998_11_SEA_OAK,nfl-greg-davis,Greg Davis,OAK,SEA,2,2,2,3,"26,38",https://nflgsis.com/1998/reg/11/462/Gamebook.pdf
