date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances
1994-01-15,1993,2,POST,1993_POST_02_DIV_LA_BUF,nfl-steve-christie,Steve Christie,BUF,LA,2,4,1,2,29
1994-01-15,1993,2,POST,1993_POST_02_DIV_NYG_SF,nfl-david-treadwell,David Treadwell,NYG,SF,0,0,1,1,25
1994-01-15,1993,2,POST,1993_POST_02_DIV_NYG_SF,nfl-mike-cofer,Mike Cofer,SF,NYG,5,6,1,1,29
1994-01-16,1993,2,POST,1993_POST_02_DIV_GB_DAL,nfl-chris-jacke,Chris Jacke,GB,DAL,2,2,1,2,30
1994-01-16,1993,2,POST,1993_POST_02_DIV_GB_DAL,nfl-eddie-murray,Eddie Murray,DAL,GB,3,3,2,2,"41,38"
1994-01-16,1993,2,POST,1993_POST_02_DIV_KC_HOU,nfl-al-del-greco,Al Del Greco,HOU,KC,2,2,2,2,"49,43"
1994-01-16,1993,2,POST,1993_POST_02_DIV_KC_HOU,nfl-nick-lowery,Nick Lowery,KC,HOU,4,4,0,0,
1994-01-23,1993,3,POST,1993_POST_03_CONF_KC_BUF,nfl-nick-lowery,Nick Lowery,KC,BUF,1,1,2,2,"31,31"
1994-01-23,1993,3,POST,1993_POST_03_CONF_KC_BUF,nfl-steve-christie,Steve Christie,BUF,KC,3,3,3,3,"23,25,18"
1994-01-23,1993,3,POST,1993_POST_03_CONF_SF_DAL,nfl-eddie-murray,Eddie Murray,DAL,SF,5,5,1,1,50
1994-01-23,1993,3,POST,1993_POST_03_CONF_SF_DAL,nfl-mike-cofer,Mike Cofer,SF,DAL,3,3,0,0,
1994-01-30,1993,4,POST,1993_POST_04_SB_DAL_BUF,nfl-eddie-murray,Eddie Murray,DAL,BUF,3,3,3,3,"41,24,20"
1994-01-30,1993,4,POST,1993_POST_04_SB_DAL_BUF,nfl-steve-christie,Steve Christie,BUF,DAL,1,1,2,2,"54,28"
1994-12-31,1994,1,POST,1994_POST_01_WC_DET_GB,nfl-chris-jacke,Chris Jacke,GB,DET,1,1,3,4,"51,32,28"
1994-12-31,1994,1,POST,1994_POST_01_WC_DET_GB,nfl-jason-hanson-2,Jason Hanson,DET,GB,1,1,1,2,38
1994-12-31,1994,1,POST,1994_POST_01_WC_KC_MIA,nfl-lin-elliott,Lin Elliott,KC,MIA,2,2,1,1,21
1994-12-31,1994,1,POST,1994_POST_01_WC_KC_MIA,nfl-pete-stoyanovich,Pete Stoyanovich,MIA,KC,3,3,2,2,"40,40"
1995-01-01,1994,1,POST,1994_POST_01_WC_CHI_MIN,nfl-fuad-reveiz,Fuad Reveiz,MIN,CHI,0,0,2,2,"29,48"
1995-01-01,1994,1,POST,1994_POST_01_WC_CHI_MIN,nfl-kevin-butler,Kevin Butler,CHI,MIN,5,5,0,0,
1995-01-01,1994,1,POST,1994_POST_01_WC_NE_CLE,nfl-matt-bahr,Matt Bahr,NE,CLE,1,1,2,2,"23,33"
1995-01-01,1994,1,POST,1994_POST_01_WC_NE_CLE,nfl-matt-stover,Matt Stover,CLE,NE,2,2,2,4,"30,21"
1995-01-07,1994,2,POST,1994_POST_02_DIV_CHI_SF,nfl-doug-brien,Doug Brien,SF,CHI,5,6,1,1,36
1995-01-07,1994,2,POST,1994_POST_02_DIV_CHI_SF,nfl-kevin-butler,Kevin Butler,CHI,SF,0,0,1,1,39
1995-01-07,1994,2,POST,1994_POST_02_DIV_CLE_PIT,nfl-gary-anderson,Gary Anderson,PIT,CLE,3,3,2,2,"39,40"
1995-01-07,1994,2,POST,1994_POST_02_DIV_CLE_PIT,nfl-matt-stover,Matt Stover,CLE,PIT,0,0,1,1,22
1995-01-08,1994,2,POST,1994_POST_02_DIV_GB_DAL,nfl-chris-boniol,Chris Boniol,DAL,GB,5,5,0,0,
1995-01-08,1994,2,POST,1994_POST_02_DIV_GB_DAL,nfl-chris-jacke,Chris Jacke,GB,DAL,0,0,1,2,50
1995-01-08,1994,2,POST,1994_POST_02_DIV_MIA_SD,nfl-john-carney,John Carney,SD,MIA,2,2,2,2,"20,21"
1995-01-08,1994,2,POST,1994_POST_02_DIV_MIA_SD,nfl-pete-stoyanovich,Pete Stoyanovich,MIA,SD,3,3,0,1,
1995-01-15,1994,3,POST,1994_POST_03_CONF_DAL_SF,nfl-chris-boniol,Chris Boniol,DAL,SF,4,4,0,1,
1995-01-15,1994,3,POST,1994_POST_03_CONF_DAL_SF,nfl-doug-brien,Doug Brien,SF,DAL,5,5,1,1,34
1995-01-15,1994,3,POST,1994_POST_03_CONF_SD_PIT,nfl-gary-anderson,Gary Anderson,PIT,SD,1,1,2,2,"39,23"
1995-01-15,1994,3,POST,1994_POST_03_CONF_SD_PIT,nfl-john-carney,John Carney,SD,PIT,2,2,1,1,20
1995-01-29,1994,4,POST,1994_POST_04_SB_SD_SF,nfl-doug-brien,Doug Brien,SF,SD,7,7,0,1,
1995-01-29,1994,4,POST,1994_POST_04_SB_SD_SF,nfl-john-carney,John Carney,SD,SF,1,1,1,1,31
1995-12-30,1995,1,POST,1995_POST_01_WC_DET_PHI,nfl-gary-anderson,Gary Anderson,PHI,DET,7,7,3,4,"21,31,39"
1995-12-30,1995,1,POST,1995_POST_01_WC_DET_PHI,nfl-jason-hanson-2,Jason Hanson,DET,PHI,3,3,0,0,
1995-12-30,1995,1,POST,1995_POST_01_WC_MIA_BUF,nfl-pete-stoyanovich,Pete Stoyanovich,MIA,BUF,2,2,0,1,
1995-12-30,1995,1,POST,1995_POST_01_WC_MIA_BUF,nfl-steve-christie,Steve Christie,BUF,MIA,4,4,3,3,"48,23,42"
1995-12-31,1995,1,POST,1995_POST_01_WC_ATL_GB,nfl-chris-jacke,Chris Jacke,GB,ATL,4,4,1,2,25
1995-12-31,1995,1,POST,1995_POST_01_WC_ATL_GB,nfl-morten-andersen,Morten Andersen,ATL,GB,2,2,2,2,"31,22"
1995-12-31,1995,1,POST,1995_POST_01_WC_IND_SD,nfl-cary-blanchard,Cary Blanchard,IND,SD,5,5,0,0,
1995-12-31,1995,1,POST,1995_POST_01_WC_IND_SD,nfl-john-carney,John Carney,SD,IND,2,2,2,2,"54,30"
